2069.4556093226242
3.2666101766840794
This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:   672254
Number of nonzeros in inequality constraint Jacobian.:    68250
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    74504
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    74504
                     variables with only upper bounds:        0
Total number of equality constraints.................:    69504
Total number of inequality constraints...............:    28650
        inequality constraints with only lower bounds:    13800
   inequality constraints with lower and upper bounds:     1050
        inequality constraints with only upper bounds:    13800

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190 4.5074531e+003 5.13e-004 1.25e-001  -7.0 2.81e-003   0.7 1.00e+000 5.92e-001h  1
 191 4.5023420e+003 2.00e-003 1.39e-001  -7.8 1.98e+002    -  2.57e-003 5.52e-004f  1
 192 4.4478326e+003 1.69e-001 3.55e+000  -7.3 2.47e+004    -  1.22e-004 5.02e-005f  1
 193 4.4185352e+003 2.16e-001 6.91e+000  -5.0 1.88e+004    -  1.37e-004 4.15e-005f  1
 194 4.4178202e+003 2.19e-004 7.22e-001  -6.8 2.19e-002   1.5 1.00e+000 1.00e+000h  1
 195 4.4176432e+003 1.54e-004 5.04e-001  -7.4 1.58e-003   1.0 1.00e+000 3.05e-001h  1
 196 4.4156712e+003 2.52e-004 9.70e-001  -5.4 1.63e+002    -  2.48e-003 2.54e-004f  1
 197 4.4153913e+003 2.08e-004 6.00e-001  -8.0 3.31e-003   0.6 1.00e+000 1.88e-001h  1
 198 4.4149426e+003 1.94e-004 3.91e-001  -8.4 6.49e-003   0.1 1.00e+000 1.21e-001h  1
 199 4.4129024e+003 4.22e-004 3.62e-001  -9.0 1.66e+002    -  7.79e-004 2.57e-004f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200 4.4124148e+003 3.83e-004 3.20e-001  -8.2 7.34e-003   0.0 1.00e+000 1.18e-001h  1
 201 4.4117208e+003 3.93e-004 7.58e-001  -8.7 2.21e-002  -0.4 1.00e+000 5.98e-002h  1
 202 4.4112710e+003 3.96e-004 1.07e+000  -7.7 7.75e-003  -0.0 1.00e+000 1.08e-001h  1
 203 4.4107781e+003 3.71e-004 7.19e-001  -7.1 3.06e-003   0.4 1.00e+000 3.07e-001h  1
 204 4.4102491e+003 4.55e-004 7.23e-001  -7.9 8.55e-003  -0.1 1.00e+000 1.19e-001h  1
 205 4.4094125e+003 7.75e-004 7.11e-001  -8.6 2.57e-002  -0.5 1.00e+000 6.59e-002h  1
 206 4.4077077e+003 1.19e-003 7.10e-001  -7.7 9.82e+001    -  9.68e-004 1.81e-004f  1
 207 4.4068600e+003 9.76e-004 3.55e-001  -7.2 3.68e-003   0.3 1.00e+000 4.65e-001h  1
 208 4.3992654e+003 6.89e-003 3.21e-001  -5.9 8.61e+001    -  4.85e-002 2.06e-003f  1
 209 4.3976057e+003 2.06e-003 1.12e-001  -5.4 4.10e-003   0.3 1.00e+000 9.12e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210 4.3921282e+003 1.97e-002 3.29e-001  -5.0 1.23e-002  -0.2 1.00e+000 1.00e+000h  1
 211 4.2137913e+003 5.18e+000 1.21e+001  -4.7 3.54e+002    -  6.26e-003 8.22e-003f  1
 212 4.1264453e+003 5.98e+000 9.58e+000  -4.7 4.50e+002    -  5.71e-003 4.11e-003f  1
 213 3.9859893e+003 8.55e+000 1.36e+001  -4.5 6.74e+002    -  5.07e-003 3.57e-003f  1
 214 4.0112464e+003 2.52e-001 2.90e+000  -4.0 5.78e-002  -0.3 1.00e+000 1.00e+000h  1
 215 3.9657926e+003 4.54e-002 2.83e+000  -4.1 4.28e-002  -0.8 9.95e-001 1.00e+000h  1
 216 3.8868604e+003 1.36e+000 3.62e+000  -4.7 2.96e+001    -  1.86e-001 6.41e-002f  1
 217 3.7179165e+003 2.42e+001 1.81e+001  -3.5 4.86e+002    -  3.45e-002 2.78e-002f  1
 218 3.5974974e+003 1.81e+000 5.73e+002  -2.7 2.43e-001   0.5 1.00e+000 1.00e+000h  1
 219 3.5511835e+003 1.75e-001 1.10e+002  -2.8 1.02e-001   0.0 9.36e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220 3.6188714e+003 8.40e-001 8.23e+001  -3.0 4.46e+000    -  5.93e-001 5.00e-001f  2
 221 3.6827139e+003 5.19e+000 1.43e+001  -3.0 6.31e+000    -  4.95e-001 1.00e+000f  1
 222 3.6167664e+003 4.27e-002 2.07e+001  -3.0 6.02e-002   0.9 1.00e+000 1.00e+000h  1
 223 3.4532157e+003 4.41e+000 5.36e+001  -3.4 5.55e+000    -  8.67e-001 1.00e+000f  1
 224 3.4334728e+003 9.89e-002 1.24e+001  -4.6 4.85e-002   0.4 1.00e+000 1.00e+000h  1
 225 3.4051634e+003 1.27e-001 1.01e+001  -6.1 6.41e+000    -  1.71e-001 1.06e-001h  1
 226 3.3991368e+003 2.80e-003 2.60e+000  -6.2 2.20e-002   0.3 1.00e+000 1.00e+000h  1
 227 3.3937571e+003 4.03e-003 2.94e+000  -5.8 1.28e-002  -0.2 1.00e+000 8.79e-001h  1
 228 3.3910750e+003 1.54e-003 1.11e+000  -5.8 6.04e-003   0.3 1.00e+000 8.66e-001h  1
 229 3.3833095e+003 1.06e-002 1.73e+000  -7.1 1.72e-002  -0.2 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230 3.3762078e+003 1.13e-002 1.77e+000  -7.9 1.67e+002    -  5.25e-003 1.19e-003f  1
 231 3.3541436e+003 7.53e-002 3.06e+000  -5.5 9.42e+002    -  1.66e-003 7.61e-004f  1
 232 3.3409566e+003 1.05e-001 4.04e+000  -5.7 6.26e+002    -  2.56e-003 8.80e-004f  1
 233 3.3406869e+003 2.16e-005 6.52e-002  -8.1 1.34e-003   1.5 1.00e+000 1.00e+000h  1
 234 3.3401494e+003 3.15e-005 7.16e-002  -8.5 1.57e-003   1.0 1.00e+000 9.02e-001h  1
 235 3.3386946e+003 3.27e-004 2.39e-002  -9.1 3.07e-003   0.5 1.00e+000 1.00e+000h  1
 236 3.3385775e+003 3.20e-004 3.00e-002  -7.1 8.80e-003   0.1 1.00e+000 3.03e-002h  1
 237 3.3286708e+003 1.71e-002 7.57e-001  -6.6 8.02e+002    -  1.26e-003 5.32e-004f  1
 238 3.3063569e+003 9.62e-002 3.02e+000  -6.0 4.13e+003    -  2.52e-004 2.41e-004f  1
 239 3.3044784e+003 5.66e-004 5.61e-001  -6.1 4.40e-003   0.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240 3.2888776e+003 4.06e-002 1.33e+000  -4.1 1.37e+002    -  5.13e-002 7.24e-003f  1
 241 3.1986691e+003 1.40e+000 1.13e+001  -6.2 3.85e+003    -  1.14e-003 2.26e-003f  1
 242 3.1388226e+003 1.94e+000 1.59e+001  -5.6 3.25e+003    -  3.17e-003 2.30e-003f  1
 243 3.0754371e+003 2.71e+000 1.99e+001  -4.5 2.63e+003    -  7.31e-003 4.23e-003f  1
 244 3.0736012e+003 2.71e+000 2.00e+001  -4.5 1.32e+003    -  2.02e-002 3.02e-004h  1
 245 3.0401604e+003 2.88e+000 2.16e+001  -5.8 5.28e+003    -  1.36e-004 1.32e-003f  1
 246 3.0355019e+003 2.89e+000 2.17e+001  -5.2 2.65e+003    -  5.70e-003 3.00e-004h  1
 247 3.0278493e+003 2.46e-002 4.23e+000  -5.9 7.99e-002  -0.2 7.28e-001 1.00e+000h  1
 248 3.0189948e+003 2.42e-002 3.83e+000  -4.9 3.15e+002    -  1.83e-002 5.14e-003f  1
 249 2.9813524e+003 2.92e-001 3.59e+000  -5.2 8.13e+002    -  1.00e-002 3.83e-003f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250 2.9358051e+003 6.68e-001 3.50e+000  -4.5 2.19e+002    -  2.34e-002 1.70e-002f  1
 251 2.9699393e+003 2.73e-002 2.48e+000  -4.9 1.04e-001  -0.3 1.00e+000 1.00e+000h  1
 252 2.9235946e+003 3.49e-003 1.01e+000  -4.7 5.86e-002  -0.8 1.00e+000 1.00e+000h  1
 253 2.9196687e+003 5.68e-003 2.50e-001  -5.0 2.90e-002  -1.2 1.00e+000 1.00e+000h  1
 254 2.9142704e+003 2.52e-002 3.36e-001  -5.4 7.91e-002  -1.7 9.85e-001 5.87e-001h  1
 255 2.9000376e+003 4.15e-002 5.06e-001  -5.2 6.95e+002    -  1.56e-002 1.73e-003f  1
 256 2.8480245e+003 6.10e-001 1.38e+000  -4.7 9.16e+002    -  4.11e-003 4.97e-003f  1
 257 2.8455881e+003 6.52e-003 4.79e-001  -6.2 1.19e-002   0.5 1.00e+000 9.96e-001h  1
 258 2.8438271e+003 8.45e-004 1.50e-001  -5.9 7.67e-003  -0.0 1.00e+000 1.00e+000h  1
 259 2.8377183e+003 7.14e-003 2.86e-001  -5.1 1.28e+002    -  4.21e-002 4.06e-003f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260 2.8370037e+003 2.09e-004 1.04e-001  -6.4 3.41e-003   0.4 1.00e+000 9.99e-001h  1
 261 2.8193736e+003 6.34e-002 1.98e-001  -7.1 2.87e+002    -  9.37e-003 5.23e-003f  1
 262 2.8016164e+003 1.31e-001 5.83e-001  -7.6 5.94e+003    -  7.48e-004 2.48e-004f  1
 263 2.7913685e+003 1.55e-001 7.98e-001  -6.9 1.76e+003    -  1.24e-003 4.58e-004f  1
 264 2.7911269e+003 1.27e-004 6.79e-002  -8.0 9.27e-004   1.2 1.00e+000 1.00e+000h  1
 265 2.7909497e+003 6.56e-005 2.37e-001  -7.5 1.47e-003   0.7 1.00e+000 4.98e-001h  1
 266 2.7907509e+003 5.72e-005 1.73e-001  -8.0 4.36e-003   0.3 1.00e+000 2.12e-001h  1
 267 2.7904018e+003 7.19e-005 1.51e-001  -8.6 1.23e-002  -0.2 1.00e+000 1.38e-001h  1
 268 2.7864780e+003 3.49e-003 1.50e-001  -7.9 1.76e+003    -  1.17e-003 1.82e-004f  1
 269 2.7769893e+003 2.25e-002 3.11e-001  -7.5 1.45e+004    -  1.19e-004 4.97e-005f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270 2.7768016e+003 9.88e-006 8.94e-003  -7.8 7.83e-004   1.1 1.00e+000 1.00e+000h  1
 271 2.7766931e+003 1.09e-005 1.76e-002  -7.3 2.14e-003   0.6 1.00e+000 2.43e-001h  1
 272 2.7763965e+003 4.61e-005 1.26e-002  -7.6 6.31e-003   0.1 9.72e-001 2.39e-001h  1
 273 2.7737918e+003 1.39e-003 5.44e-002  -7.9 6.41e+002    -  1.57e-003 2.90e-004f  1
 274 2.7730642e+003 6.82e-004 4.29e-002  -6.3 7.29e-003   0.1 1.00e+000 5.36e-001h  1
 275 2.7593507e+003 4.26e-002 3.12e-001  -6.0 9.06e+002    -  3.56e-003 1.12e-003f  1
 276 2.7580043e+003 9.97e-004 1.13e-001  -5.5 7.72e-003   0.0 1.00e+000 1.00e+000h  1
 277 2.7466018e+003 3.11e-002 2.62e-001  -5.2 3.62e+002    -  9.81e-003 2.46e-003f  1
 278 2.7462640e+003 2.24e-005 7.23e-002  -6.7 1.15e-003   0.9 1.00e+000 1.00e+000h  1
 279 2.7448992e+003 4.41e-004 7.97e-002  -4.7 1.84e+002    -  8.30e-003 5.87e-004f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280 2.7448040e+003 2.97e-006 8.40e-003  -8.0 4.42e-004   1.3 1.00e+000 1.00e+000h  1
 281 2.7446666e+003 9.02e-006 8.31e-003  -8.7 1.29e-003   0.8 1.00e+000 5.39e-001h  1
 282 2.7444752e+003 2.32e-005 2.02e-002  -9.5 3.79e-003   0.3 1.00e+000 2.67e-001h  1
 283 2.7443603e+003 2.34e-005 2.02e-002  -8.9 2.99e+003    -  6.23e-005 3.46e-006f  1
 284 2.7430422e+003 4.62e-004 3.85e-002  -8.5 9.68e+003    -  4.77e-006 1.50e-005f  1
 285 2.7425705e+003 5.21e-004 5.36e-002  -8.7 9.07e+003    -  2.39e-005 5.76e-006f  1
 286 2.7424371e+003 4.43e-004 2.66e-001  -8.3 4.77e-003   0.2 1.00e+000 1.50e-001h  1
 287 2.7421793e+003 3.45e-004 5.00e-001  -6.3 5.25e-003  -0.3 9.82e-001 2.23e-001h  1
 288 2.7412650e+003 4.34e-004 4.57e-002  -6.4 5.28e-003   0.2 1.00e+000 9.73e-001h  1
 289 2.7071894e+003 6.22e-001 2.37e+000  -6.6 7.64e+001    -  2.91e-003 6.06e-003f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290 2.7058704e+003 3.47e-001 1.30e+000  -5.4 5.66e-003   1.0 1.00e+000 4.43e-001h  1
 291 2.7028879e+003 5.36e-004 3.11e-001  -5.9 7.63e-003   0.5 9.97e-001 1.00e+000h  1
 292 2.7010607e+003 3.81e-004 4.34e-002  -6.5 8.19e-003   0.1 1.00e+000 1.00e+000h  1
 293 2.6971731e+003 4.34e-003 1.84e-001  -6.2 3.82e+000    -  5.88e-002 2.30e-002f  1
 294 2.6964239e+003 6.94e-004 9.85e-002  -6.5 5.61e-003   0.0 1.00e+000 9.95e-001h  1
 295 2.6943717e+003 2.58e-003 8.83e-002  -6.2 1.46e-002  -0.5 1.00e+000 8.58e-001h  1
 296 2.6936510e+003 6.83e-004 6.69e-002  -6.0 7.09e-003  -0.0 1.00e+000 1.00e+000h  1
 297 2.6876591e+003 1.63e-002 2.23e-001  -4.2 5.62e+000    -  8.02e-002 4.78e-002f  1
 298 2.6659202e+003 1.33e-001 1.09e+000  -5.3 2.00e+002    -  9.81e-003 4.79e-003f  1
 299 2.6649830e+003 1.36e-003 5.16e-001  -6.1 1.22e-002  -0.1 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300 2.6510022e+003 4.79e-002 6.27e-001  -5.4 1.04e+001    -  8.86e-002 5.70e-002f  1
 301 2.6122256e+003 5.40e-001 2.32e+000  -5.7 5.40e+002    -  3.07e-003 5.89e-003f  1
 302 2.6097962e+003 5.40e-001 2.37e+000  -5.4 1.12e+002    -  2.96e-002 1.09e-003h  1
 303 2.6072521e+003 5.05e-001 2.25e+000  -7.6 5.34e-002  -0.2 6.35e-001 6.41e-002h  1
 304 2.6031539e+003 5.03e-001 2.25e+000  -4.6 2.89e+001    -  1.31e-001 7.41e-003h  1
 305 2.5955916e+003 3.90e-003 9.38e-001  -5.8 5.32e-002   0.2 1.00e+000 9.92e-001h  1
 306 2.5919121e+003 5.66e-003 8.95e-001  -6.0 3.94e+001    -  5.77e-003 4.97e-003f  1
 307 2.5970305e+003 2.36e-003 1.58e+000  -6.2 4.32e-002   0.2 1.00e+000 1.00e+000h  1
 308 2.5916913e+003 3.90e-003 1.58e+000  -5.9 4.06e+001    -  1.04e-002 6.83e-003f  1
 309 2.5799256e+003 1.02e-003 6.37e-001  -5.8 2.96e-002   0.1 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 310 2.5746030e+003 4.13e-003 6.69e-001  -6.5 4.55e+001    -  1.10e-002 6.20e-003f  1
 311 2.5736762e+003 1.35e-006 1.32e-001  -7.5 1.86e-003   1.9 1.00e+000 1.00e+000h  1
 312 2.5727440e+003 1.24e-004 1.32e-001  -5.5 4.64e+001    -  4.14e-002 1.05e-003f  1
 313 2.5709875e+003 1.13e-005 1.14e-001  -7.5 4.34e-003   1.4 1.00e+000 9.13e-001h  1
 314 2.5699647e+003 1.61e-004 1.14e-001  -5.5 4.56e+001    -  3.35e-003 1.17e-003f  1
 315 2.5687469e+003 9.79e-005 2.28e-001  -7.5 8.07e-003   0.9 1.00e+000 3.96e-001h  1
 316 2.5669403e+003 5.68e-004 2.27e-001  -5.5 5.08e+001    -  4.01e-003 1.84e-003f  1
 317 2.5650164e+003 2.72e-004 1.34e-001  -6.4 1.13e-002   0.5 1.00e+000 5.36e-001h  1
 318 2.5641586e+003 1.92e-004 3.29e-001  -7.2 1.02e-002  -0.0 1.00e+000 3.37e-001h  1
 319 2.5633199e+003 1.90e-004 2.62e-001  -7.7 8.90e-003  -0.5 1.00e+000 3.83e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 320 2.5628672e+003 2.70e-004 2.21e-001  -8.1 1.11e-002  -1.0 1.00e+000 1.53e-001h  1
 321 2.5624102e+003 1.05e-004 2.02e-002  -7.4 2.44e-003   0.4 1.00e+000 9.76e-001h  1
 322 2.5619240e+003 2.26e-004 6.47e-002  -7.2 4.12e-003  -0.1 1.00e+000 5.62e-001h  1
 323 2.5603129e+003 4.52e-004 6.22e-002  -6.3 9.17e+000    -  2.40e-002 9.10e-003f  1
 324 2.5595117e+003 6.27e-004 5.24e-002  -6.4 6.24e-003  -0.2 1.00e+000 8.13e-001h  1
 325 2.5542073e+003 3.44e-003 1.05e-001  -6.7 1.81e+001    -  9.32e-003 1.15e-002f  1
 326 2.5476485e+003 9.77e-003 1.89e-001  -6.1 1.04e+002    -  3.76e-003 2.64e-003f  1
 327 2.5310914e+003 5.54e-002 4.88e-001  -5.7 4.76e+002    -  1.69e-003 1.91e-003f  1
 328 2.5253864e+003 5.95e-002 5.97e-001  -6.0 2.73e+002    -  6.01e-003 1.35e-003f  1
 329 2.5245518e+003 2.65e-004 2.51e-001  -6.9 5.25e-003   0.2 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 330 2.5237975e+003 4.69e-004 9.38e-002  -6.2 5.98e-003  -0.3 1.00e+000 5.97e-001h  1
 331 2.5169324e+003 7.25e-003 1.80e-001  -7.0 1.42e+002    -  1.35e-002 3.11e-003f  1
 332 2.5009185e+003 5.33e-002 4.83e-001  -5.9 8.37e+002    -  6.09e-004 1.28e-003f  1
 333 2.4926963e+003 6.61e-002 6.29e-001  -6.5 1.08e+003    -  1.22e-003 5.10e-004f  1
 334 2.4847492e+003 7.79e-002 7.04e-001  -6.3 5.76e+002    -  8.80e-004 1.28e-003f  1
 335 2.4835032e+003 7.81e-002 7.18e-001  -5.7 2.72e+002    -  3.04e-003 4.70e-004h  1
 336 2.4713612e+003 1.00e-001 9.34e-001  -5.8 1.73e+003    -  5.35e-004 8.75e-004f  1
 337 2.4706694e+003 4.76e-004 1.78e-001  -6.3 4.91e-003  -0.1 1.00e+000 1.00e+000h  1
 338 2.4683803e+003 1.15e-003 1.62e-001  -6.5 3.29e+002    -  5.46e-003 8.24e-004f  1
 339 2.4477091e+003 8.94e-002 4.68e-001  -6.9 5.16e+003    -  4.35e-004 5.50e-004f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 340 2.4470556e+003 1.63e-004 6.81e-002  -7.2 8.56e-003   0.3 1.00e+000 1.00e+000h  1
 341 2.4469110e+003 8.45e-006 1.10e-002  -7.5 1.14e-003   0.7 1.00e+000 9.69e-001h  1
 342 2.4468662e+003 1.96e-006 1.61e-002  -8.7 4.09e-004   1.2 1.00e+000 8.68e-001h  1
 343 2.4467067e+003 5.74e-006 1.57e-002 -10.1 3.06e+002    -  6.51e-004 6.46e-005f  1
 344 2.4466306e+003 6.61e-006 2.27e-001  -9.4 2.23e-003   0.2 1.00e+000 2.05e-001h  1
 345 2.4455064e+003 2.51e-004 2.27e-001  -9.5 1.11e+003    -  7.98e-005 1.28e-004f  1
 346 2.4453857e+003 1.68e-004 2.26e-001  -7.4 2.49e-003   0.2 1.00e+000 3.01e-001h  1
 347 2.4452267e+003 1.45e-004 1.87e-001  -7.9 3.83e-003  -0.3 1.00e+000 1.64e-001h  1
 348 2.4418206e+003 2.57e-003 1.87e-001  -7.9 8.76e+002    -  1.06e-003 5.74e-004f  1
 349 2.4414025e+003 1.50e-003 2.80e-001  -6.6 5.99e-003  -0.4 1.00e+000 3.72e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 350 2.4398728e+003 1.98e-003 2.79e-001  -6.6 5.82e+002    -  2.51e-003 3.20e-004f  1
 351 2.4259516e+003 7.62e-002 1.03e+000  -6.1 3.14e+003    -  2.08e-004 4.92e-004f  1
 352 2.4254907e+003 5.12e-002 9.50e-001  -6.6 6.71e-003   0.0 1.00e+000 3.28e-001h  1
 353 2.4242698e+003 5.11e-002 9.33e-001  -7.2 8.30e+001    -  5.88e-004 1.56e-003h  1
 354 2.4238951e+003 4.44e-004 2.51e-001  -6.7 1.22e-002  -0.0 1.00e+000 9.98e-001h  1
 355 2.4199223e+003 3.41e-003 2.74e-001  -5.7 1.60e+002    -  1.09e-003 2.67e-003f  1
 356 2.4079355e+003 3.91e-002 5.62e-001  -6.1 7.78e+003    -  1.10e-004 2.01e-004f  1
 357 2.4073594e+003 1.68e-004 1.02e-001  -6.4 8.02e-003   0.3 1.00e+000 1.00e+000h  1
 358 2.4045021e+003 1.88e-003 9.69e-002  -4.4 1.11e+002    -  1.45e-003 3.20e-003f  1
 359 2.3883205e+003 1.09e-001 2.90e-001  -7.4 1.18e+003    -  5.15e-004 1.37e-003f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 360 2.3867927e+003 1.58e-004 1.40e-001  -6.7 1.10e-002   0.3 1.00e+000 1.00e+000h  1
 361 2.3863872e+003 8.89e-005 2.53e-001  -6.8 4.24e-003  -0.2 1.00e+000 5.05e-001h  1
 362 2.3848836e+003 6.17e-004 2.44e-001  -7.2 9.95e+001    -  3.26e-004 1.67e-003f  1
 363 2.3722087e+003 5.40e-002 4.37e-001  -6.9 6.94e+003    -  6.28e-005 3.75e-004f  1
 364 2.3711408e+003 5.44e-002 4.56e-001 -11.0 9.98e+002    -  2.88e-003 2.52e-004f  1
 365 2.3588985e+003 1.03e-001 8.11e-001  -6.9 2.29e+004    -  1.86e-004 1.33e-004f  1
 366 2.3586989e+003 9.27e-002 6.88e-001 -11.0 9.14e-003   0.1 7.42e-001 9.95e-002h  1
 367 2.3580114e+003 1.78e-002 1.26e-001  -7.1 5.65e-003   0.6 1.00e+000 8.08e-001h  1
 368 2.3577451e+003 1.05e-002 2.69e-001  -7.1 4.63e-003   0.1 1.00e+000 4.13e-001h  1
 369 2.3575116e+003 1.85e-005 7.64e-003  -7.5 2.23e-003   0.5 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 370 2.3574335e+003 1.75e-005 1.28e-001  -8.5 2.81e-003   0.0 1.00e+000 2.10e-001h  1
 371 2.3572971e+003 3.03e-005 3.88e-001  -9.5 5.90e-003  -0.4 1.00e+000 1.35e-001h  1
 372 2.3572508e+003 3.02e-005 3.87e-001  -9.1 7.57e+000    -  3.46e-003 2.51e-004h  1
 373 2.3571415e+003 2.94e-005 3.86e-001  -7.6 6.13e+001    -  6.73e-004 8.92e-005f  1
 374 2.3569539e+003 8.03e-005 3.60e-001  -7.9 3.23e-003  -0.1 1.00e+000 3.86e-001h  1
 375 2.3564667e+003 8.10e-005 3.59e-001  -6.6 1.87e+001    -  1.93e-003 1.04e-003f  1
 376 2.3561639e+003 2.44e-004 1.53e-001  -6.9 2.33e-003  -0.1 1.00e+000 6.09e-001h  1
 377 2.3561376e+003 1.19e-006 4.44e-003  -7.3 1.17e-004   1.2 1.00e+000 1.00e+000h  1
 378 2.3550346e+003 3.07e-004 2.57e-002  -8.2 1.82e+001    -  6.67e-003 2.94e-003f  1
 379 2.3540294e+003 6.66e-004 5.83e-002  -7.0 4.05e+002    -  5.81e-004 1.45e-004f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 380 2.3537173e+003 6.96e-004 6.84e-002  -6.6 5.32e+002    -  7.29e-004 3.80e-005f  1
 381 2.3467577e+003 1.70e-002 2.73e-001  -7.1 3.82e+002    -  1.34e-003 1.37e-003f  1
 382 2.3462127e+003 7.90e-003 2.05e-001  -6.6 6.46e-003  -0.3 1.00e+000 5.36e-001h  1
 383 2.3431213e+003 1.10e-002 2.02e-001  -6.2 4.22e+001    -  1.01e-002 5.27e-003f  1
 384 2.3430085e+003 7.29e-003 2.21e-001  -6.6 2.03e-002  -0.3 8.84e-001 3.38e-001h  1
 385 2.3412959e+003 8.26e-003 2.43e-001  -4.6 2.69e+001    -  1.09e-002 5.01e-003f  1
 386 2.3296471e+003 6.28e-002 6.15e-001  -6.5 1.24e+003    -  3.25e-004 7.79e-004f  1
 387 2.3283775e+003 2.03e-002 2.22e-001  -6.3 1.64e-002  -0.4 1.00e+000 6.79e-001h  1
 388 2.3273775e+003 1.05e-002 1.04e-001  -6.0 1.09e-002  -0.9 8.80e-001 4.92e-001h  1
 389 2.3215556e+003 2.25e-002 1.13e-001  -6.0 4.26e+001    -  2.53e-003 1.00e-002f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 390 2.3213689e+003 7.34e-004 6.12e-002  -6.6 8.21e-003  -0.0 1.00e+000 9.70e-001h  1
 391 2.3207071e+003 4.01e-004 5.28e-002  -6.4 4.74e-003  -0.5 1.00e+000 7.10e-001h  1
 392 2.3201883e+003 8.07e-004 1.83e-001  -6.5 1.13e-002  -1.0 1.00e+000 2.79e-001h  1
 393 2.3200044e+003 2.53e-005 1.64e-002  -7.3 1.27e-003   0.4 1.00e+000 9.96e-001h  1
 394 2.3199702e+003 1.12e-005 8.35e-002  -8.4 3.89e-004   0.8 1.00e+000 6.06e-001h  1
 395 2.3199080e+003 1.14e-005 2.86e-001  -8.5 9.02e-004   0.3 1.00e+000 4.26e-001h  1
 396 2.3197098e+003 1.69e-005 2.83e-001  -8.6 9.25e+000    -  5.65e-003 9.66e-004f  1
 397 2.3196918e+003 2.68e-006 4.09e-002  -8.5 1.32e-004   1.2 1.00e+000 8.57e-001h  1
 398 2.3192826e+003 5.35e-005 4.05e-002  -8.3 3.23e+001    -  1.59e-003 7.35e-004f  1
 399 2.3192394e+003 4.11e-005 2.36e-001  -8.0 1.10e-003   0.2 1.00e+000 2.49e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 400 2.3180981e+003 5.68e-004 2.36e-001  -7.7 1.50e+002    -  5.30e-004 5.18e-004f  1
 401 2.3180255e+003 3.53e-004 1.29e-001  -7.7 1.22e-003   0.2 1.00e+000 3.82e-001h  1
 402 2.3180157e+003 1.31e-007 1.79e-003  -8.6 5.69e-005   1.5 1.00e+000 1.00e+000h  1
 403 2.3180038e+003 3.31e-007 3.03e-002  -9.9 1.69e-004   1.0 1.00e+000 4.38e-001h  1
 404 2.3179838e+003 1.05e-006 8.99e-002 -10.7 5.07e-004   0.5 1.00e+000 2.52e-001h  1
 405 2.3179347e+003 1.16e-006 8.99e-002 -10.6 1.54e+003    -  4.24e-005 2.32e-006f  1
